Categoria,Nome,Luogo,URL
Università,Digital Humanities Advanced Research Centre (DH.ARC) - Unibo,Bologna,https://centri.unibo.it/dharc/en/research/projects-at-dh-arc
Università,Venice Centre for Digital and Public Humanities (VeDPH),Venezia,https://www.unive.it/pag/47701/  ; https://www.unive.it/pag/47702/ ;https://www.unive.it/pag/47703/ ;https://www.unive.it/pag/47704/ 
Università,Digital Culture Laboratory - Pisa,Pisa,https://www.labcd.unipi.it/progetti/
Università,DigiLab – Interdepartmental Center for research and services - la sapienza,Roma,https://digilab.uniroma1.it/ricerca/progetti-corso
Università,Interdepartmental center FiTMU – DH Section - unisalerno,Salerno,
Università,Laboratory Vast-Lab - Prato ,Prato,https://vast-lab.org/progetti/
Università,Centro interdipartimentale di ricerca in Digital Humanities - Università del Salento,Lecce (?),
Università,CRR-MM - unibo,Bologna,https://sba.unibo.it/it/almadl/collezioni/portfolio-crrmm
Università,"Centro Interdipartimentale di Ricerca ""Digital Scholarship for the Humanities"" DISH Università di Torino",Torino,"  http://vcg.isti.cnr.it/cross/ ;
  http://pelavicino.labcd.unipi.it/ ;
  http://vcg.isti.cnr.it/activities/visionarycross/ ;
  http://vbd.humnet.unipi.it/beta2/ ;
  http://iu.di.unipi.it/flos/ ;
  http://www.labcd.unipi.it/matildedicanossa ;
https://www.classici-dse.com/ ;
https://sourceforge.net/projects/evt-project/ ;
http://evt.labcd.unipi.it/ ;
https://www.openliterature.unito.it/ "
Università,Centro Interdisciplinare di Ricerche per la Computerizzazione dei Segni dell'Espressione Università Cattolica di Milano,Milano,https://centridiricerca.unicatt.it/circse/it/progetti.html
Università,Centro di Informatica Umanistica - Università degli Studi di Catania,Catania,alpion.unict.it ; http://www.artesia.unict.it/ ;  linea.unict.it ; poichilia.unict.it ;http://www.pirandellonazionale.it/ 
Università,"Laboratorio CRILeT ""Giuseppe Gigliozzi"" - Sapienza Università di Roma",Roma,
Università,Laboratorio di Informatica Umanistica e Cultura Digitale - Università di Parma,Parma,https://dhlab.unipr.it/?page_id=178
Università,Digital Arena for Inclusive Humanities - Università di Verona,,
Università,LUDICA: Laboratorio di Umanistica Digitale Università di Cagliari,,https://www.unica.it/unica/it/news_avvisi_s1.page?contentId=AVS162074
,,,
Istituzione,Digital humanities lab - kunsthistoriches florenz,Firenze,https://www.khi.fi.it/en/forschung/digital-humanities/index.php
Istituzione,Digitatti - Villa I tatti Florence,Firenze,https://florentinedrawings.itatti.harvard.edu/resource/Start ; https://cria.itatti.harvard.edu/ ;https://pharosartresearch.org/ ; https://yashiro.itatti.harvard.edu/ ; https://bellegreene.itatti.harvard.edu/resource/rsp:Letters 
Istituzione,Digital humanties lab - Bibliotheca hertziana (rome),Roma,https://maps.biblhertz.it/gis/precat ; https://biblhertz.github.io/atlas/ ; https://db.biblhertz.it/siena/siena.xql ; https://wissensgeschichte.biblhertz.it/3d-bridge-html/index3D.html ; https://dlib.biblhertz.it/ ; https://rara.biblhertz.it/ ; https://foto.biblhertz.it/ ; https://zuccaro.biblhertz.it/ ; https://dlib.biblhertz.it/urbs/#14.29/41.89547/12.46792/17.7 ; https://dlib.biblhertz.it/spatial/#15.96/41.895619/12.477807/20 ; https://dlib.biblhertz.it/guide/ ; https://db.biblhertz.it/noack/noack.xml ; https://cipro.biblhertz.it/ ; https://fm.biblhertz.it/fmi/xsl/home.xsl?-token.proj=li ; https://db.biblhertz.it/abruzzo/index.xml ; https://wissensgeschichte.biblhertz.it/Glossario ; https://maps.biblhertz.it/ ; https://staccioli.biblhertz.it/resource/Default:Start ; https://echaurren.biblhertz.it/PE.html ; https://dlib.biblhertz.it/places#17.35/41.896072/12.482376 ; https://data.biblhertz.it/ ; https://confluenze.dev/#16.5/42.348011/13.397988/-69/26 ; https://dlib.biblhertz.it/perspectiva/ ; https://editions.humanitiesconnect.pub/exist/apps/hwgw/index.html 
Istituzione,DH Research Group – ICT Center – Fondazione Bruno Kessler ,Trento,https://dh.fbk.eu/category/projects/
,,,
CNR,ILIESI Institute - cnr roma,Roma,https://www.iliesi.cnr.it/attivita.php?tp=a_d
CNR,Institute for Computational Linguistics «A. Zampolli» - pisa,Pisa,https://www.ilc.cnr.it/progetti-attivi/ ; https://www.ilc.cnr.it/progetti/ 
CNR,Visual Computing Lab – ISTI – CNR -,Pisa,https://www.labcd.unipi.it/en/osservatorio/visual-computing-lab-isti-cnr-2/
